afdb_id,pdb_id,eta,rmsd_ca_mean,rmsd_ca_sd,gdt_ts_mean,gdt_ts_sd,gdt_ha_mean,gdt_ha_sd,edg_lddt_mean,edg_lddt_sd
O58316,2BJ7,0.01,0.446,0.063,0.991,0.004,0.953,0.018,99.28,0.30
O58316,2BJ7,0.05,1.323,0.294,0.892,0.031,0.703,0.041,87.03,1.90
Q9WXS0,1MKM,0.01,0.940,0.074,0.923,0.014,0.753,0.026,97.34,0.87
Q9WXS0,1MKM,0.05,2.378,0.215,0.680,0.037,0.438,0.039,79.59,1.78
